x,y,Mean Curvature
-78.43683359,38.73073601,0
-78.45031852,38.72965257,29.98050177
-78.45440628,38.73114724,59.86996752
-78.45663473,38.73155745,29.88946574
-78.46077374,38.73161195,29.9912
-78.46391633,38.72699329,59.94745989
-78.46294855,38.72359359,29.98695596
-78.45976084,38.72124304,59.9761106
-78.45824635,38.71984241,29.98915464
-78.45729895,38.7164431,0
-78.48497372,38.71231186,29.98976882
-78.48183954,38.70589238,59.97324506
-78.48339629,38.70122275,0
-78.49393549,38.70101676,29.99198125
-78.49825462,38.70080296,59.98635054
-78.50018752,38.699776,29.9943693
-78.50054535,38.69629295,0
-78.49639653,38.67825634,29.99631289
-78.50065054,38.67657113,59.98996298
-78.50308232,38.67605161,29.9936501
-78.50757766,38.67568419,0
-78.52283648,38.66816085,29.9661486
-78.52138485,38.66659838,29.9661486
-78.52109434,38.66483527,59.96426155
-78.52137965,38.66308436,29.99811296
-78.52219312,38.66148882,59.99104268
-78.52397112,38.66024707,29.99292972
-78.52590208,38.65923378,29.99292972
-78.52799871,38.65841317,0
-78.53008354,38.65793465,0
-78.53875276,38.6463774,29.97844609
-78.53448202,38.64527829,59.97169345
